ترم ارائه درس,دانشكده درس,دانشكده درس,گروه آموزشي درس,گروه آموزشي درس,شماره و گروه درس,نام درس,كل,ع,ظر فيت,ثبت نام شده,تعداد ليست انتظار,جنس,نام استاد,زمان و مكان ارائه,زمان و مكان امتحان,محدوديت اخذ,مخصوص ورودي,دروس اجبار/متضاد,نحوه ارائه درس,دوره درس,امكان حذف اضطراري,امكان اخذ توسط مهمان,توضيحات
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211011_01,مدار منطقي,3,0,55,55,0,مختلط,صدر علي,درس(ت): شنبه      15:00-16:30 مکان: دانشكده برق (شهيد چمران) كلاس شماره 211، درس(ت): دوشنبه    15:00-16:30 مکان: دانشكده برق (شهيد چمران) كلاس شماره 211,تاريخ: 1402/04/04  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,بله,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211011_02,مدار منطقي,3,0,55,24,0,مختلط,ميرزاكوچكي ستار,درس(ت): شنبه      15:00-16:30 مکان: دانشكده برق (شهيد چمران) كلاس شماره 212، درس(ت): دوشنبه    15:00-16:30 مکان: دانشكده برق (شهيد چمران) كلاس شماره 212,تاريخ: 1402/04/04  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,بله,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211011_03,مدار منطقي,3,0,41,41,0,مختلط,راحمي نوش آبادي نرجس,درس(ت): شنبه      15:00-16:30 مکان: دانشكده برق (شهيد چمران) كلاس شماره 214، درس(ت): دوشنبه    15:00-16:30 مکان: دانشكده برق (شهيد چمران) كلاس شماره 214,تاريخ: 1402/04/04  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,بله,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211012_01,آزمايشگاه مدارهاي منطقي,1,1,12,6,0,مختلط,جليليان خالقي حميدرضا,درس(ع): شنبه      09:00-11:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه مدار منطقي و تكنيك پالس,تاريخ: 1402/03/20  ساعت: 13:30-15:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211012_02,آزمايشگاه مدارهاي منطقي,1,1,12,12,0,مختلط,جليليان خالقي حميدرضا,درس(ع): شنبه      13:00-15:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه مدار منطقي و تكنيك پالس,تاريخ: 1402/03/20  ساعت: 13:30-15:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211012_03,آزمايشگاه مدارهاي منطقي,1,1,12,10,0,مختلط,جليليان خالقي حميدرضا,درس(ع): شنبه      15:00-17:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه مدار منطقي و تكنيك پالس,تاريخ: 1402/03/20  ساعت: 13:30-15:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211012_04,آزمايشگاه مدارهاي منطقي,1,1,12,10,0,مختلط,جليليان خالقي حميدرضا,درس(ع): يك شنبه   13:00-15:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه مدار منطقي و تكنيك پالس,تاريخ: 1402/03/20  ساعت: 13:30-15:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211012_05,آزمايشگاه مدارهاي منطقي,1,1,12,10,0,مختلط,جليليان خالقي حميدرضا,درس(ع): چهارشنبه  13:00-15:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه مدار منطقي و تكنيك پالس,تاريخ: 1402/03/20  ساعت: 13:30-15:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211012_06,آزمايشگاه مدارهاي منطقي,1,1,12,7,0,مختلط,جليليان خالقي حميدرضا,درس(ع): چهارشنبه  15:00-17:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه مدار منطقي و تكنيك پالس,تاريخ: 1402/03/20  ساعت: 13:30-15:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211012_07,آزمايشگاه مدارهاي منطقي,1,1,12,12,0,مختلط,مهدويان شاد محمدمعين,درس(ع): چهارشنبه  08:00-10:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه مدار منطقي و تكنيك پالس,تاريخ: 1402/03/20  ساعت: 13:30-15:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211024_01,اصول ميكروكنترل كننده ها,3,0,40,37,0,مختلط,دارستاني فراهاني احسان,درس(ت): يك شنبه   09:00-10:30 مکان: دانشكده برق (شهيد چمران) كلاس شماره 204، درس(ت): سه شنبه   09:00-10:30 مکان: دانشكده برق (شهيد چمران) كلاس شماره 204,تاريخ: 1402/04/04  ساعت: 13:30-15:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,بله,بله,اين گروه درسي توسط دكتر فراهاني ارائه مي گردد.
